Run,Time
1,0.0060917606353759765
2,0.007023262023925781
3,0.006093906402587891
4,0.006099628448486328
5,0.004903720855712891
6,0.006625579833984375
7,0.005996870040893555
8,0.004893230438232422
9,0.0059980621337890625
10,0.0060002079010009765
11,0.005999492645263672
12,0.006001161575317383
13,0.004999565124511719
14,0.005999015808105469
15,0.006000923156738281
16,0.006010936737060547
17,0.005989002227783203
18,0.00499980354309082
19,0.00601451301574707
20,0.006166862487792969
21,0.006608890533447266
22,0.006457733154296875
23,0.005166219711303711
24,0.006361888885498047
25,0.005000995635986328
26,0.006000446319580078
27,0.0060002079010009765
28,0.006551908493041992
29,0.0071179141998291015
30,0.004890607833862305
31,0.005000518798828125
32,0.005101846694946289
33,0.006581233978271484
34,0.005999969482421875
35,0.0050024261474609375
36,0.005172895431518555
37,0.004093097686767578
38,0.006161855697631836
39,0.005992340087890625
40,0.004900144577026367
41,0.005993770599365234
42,0.0060018768310546875
43,0.005243705749511719
44,0.006010936737060547
45,0.00699560546875
46,0.00500433349609375
47,0.005519079208374023
48,0.005005048751831055
49,0.006328987121582031
50,0.006004976272583008
51,0.00551240348815918
52,0.004083322525024414
53,0.0050272216796875
54,0.0038949718475341797
55,0.005057500839233398
56,0.00503485107421875
57,0.0049051513671875
58,0.004006551742553711
59,0.005092548370361328
60,0.005003856658935547
61,0.006003545761108398
62,0.006189035415649414
63,0.0050007572174072265
64,0.005894350051879883
65,0.0050062408447265625
66,0.005103992462158203
67,0.005230831146240234
68,0.0049986114501953125
69,0.003955053329467773
70,0.0050577392578125
71,0.005942510604858398
72,0.003949808120727539
73,0.006093906402587891
74,0.004903005599975586
75,0.007099079132080078
76,0.00800125503540039
77,0.005246328353881836
78,0.005010770797729492
79,0.004997419357299805
80,0.004999088287353516
81,0.0043293704986572265
82,0.004959987640380859
83,0.005723642349243164
84,0.004998849868774414
85,0.003994392395019531
86,0.005154537200927734
87,0.0055348148345947265
88,0.00609986686706543
89,0.0049931278228759765
90,0.004999088287353516
91,0.004901336669921875
92,0.005112575531005859
93,0.0049854984283447265
94,0.00690715217590332
95,0.005094932556152344
96,0.005431102752685547
97,0.006005929946899414
98,0.00499980354309082
99,0.005823539733886719
100,0.006002115249633789
