Run,Time
1,0.005989551544189453
2,0.006106376647949219
3,0.0050051212310791016
4,0.006094932556152344
5,0.0054569244384765625
6,0.0061910152435302734
7,0.007009267807006836
8,0.0060007572174072266
9,0.005997419357299805
10,0.0060002803802490234
11,0.005056619644165039
12,0.0064542293548583984
13,0.005950927734375
14,0.006458759307861328
15,0.006114482879638672
16,0.006132364273071289
17,0.0061054229736328125
18,0.005902767181396484
19,0.0061075687408447266
20,0.004914760589599609
21,0.006498813629150391
22,0.0061190128326416016
23,0.006013631820678711
24,0.006997823715209961
25,0.006000995635986328
26,0.006000518798828125
27,0.006304025650024414
28,0.0059947967529296875
29,0.005906105041503906
30,0.006002187728881836
31,0.005995035171508789
32,0.0070037841796875
33,0.0059967041015625
34,0.006106138229370117
35,0.006155967712402344
36,0.0059413909912109375
37,0.006001949310302734
38,0.00551915168762207
39,0.006445407867431641
40,0.006013154983520508
41,0.005999088287353516
42,0.006094455718994141
43,0.0059986114501953125
44,0.005903005599975586
45,0.005999088287353516
46,0.006003856658935547
47,0.006964445114135742
48,0.006999969482421875
49,0.0061473846435546875
50,0.005000591278076172
51,0.006999969482421875
52,0.00600886344909668
53,0.005123615264892578
54,0.0074694156646728516
55,0.006161212921142578
56,0.005983591079711914
57,0.005943775177001953
58,0.0069980621337890625
59,0.006227016448974609
60,0.00599217414855957
61,0.006095409393310547
62,0.0059032440185546875
63,0.006000995635986328
64,0.0060656070709228516
65,0.006020307540893555
66,0.0059814453125
67,0.00599980354309082
68,0.007020711898803711
69,0.0060155391693115234
70,0.00553584098815918
71,0.004998922348022461
72,0.0060007572174072266
73,0.0049855709075927734
74,0.006013393402099609
75,0.0049896240234375
76,0.004998445510864258
77,0.005998849868774414
78,0.00551152229309082
79,0.005000114440917969
80,0.0060002803802490234
81,0.0050961971282958984
82,0.00490880012512207
83,0.005995988845825195
84,0.005997896194458008
85,0.004999399185180664
86,0.006005525588989258
87,0.004999637603759766
88,0.005000591278076172
89,0.006528615951538086
90,0.00500035285949707
91,0.004985332489013672
92,0.0060160160064697266
93,0.005998373031616211
94,0.005000591278076172
95,0.00500035285949707
96,0.004984617233276367
97,0.005112409591674805
98,0.005986690521240234
99,0.0060007572174072266
100,0.0049059391021728516
