Model,Time,Cost
Original Model,0.006753,0.0237696305716163
Transform 1,0.007033,0.026597643813779295
Transform 2,0.007072,0.029137951823501828
Transform 3,0.006931,0.028336809511033203

Model2,0.000706,0.0003692278291565046
Transform 1,0.000780,0.000542119642172257
Transform 2,0.000550,0.0005078350479065046
Transform 3,0.000446,0.00031552823540650464
